2021-01-16 17:56:39.2199||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 17:56:42.5636|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 17:57:14.5996||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 17:57:17.9669|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 17:57:38.6566||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 17:57:41.9844|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:11:44.1560||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:11:47.5952|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:13:23.8792||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:13:27.9407|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:26:11.5661||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:26:14.9438|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:29:38.3009||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:29:42.0386|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:30:41.8852||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:30:45.2397|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:32:57.6241||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:33:01.8822|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:33:47.8943||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:33:51.1522|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:34:08.1275||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:34:11.6512|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:34:56.0472||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:34:59.2704|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2021-01-16 18:35:47.7452||DEBUG|HLAN.Program|init main |url: |action: 
2021-01-16 18:35:52.3175|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
